,spring,summer,fall,winter
1979,28933.7236605,29026.4974476,29120.1363796,29209.9650286
1980,29298.9650015,29391.7410889,29485.3810729,29575.2055514
1981,29664.2103641,29756.9894789,29850.6286405,29940.4516842
1982,30029.4553894,30122.2244199,30215.8653859,30305.6930661
1983,30394.6935504,30487.4644778,30581.1123143,30670.9373496
1984,30759.9335651,30852.710005,30946.3561427,31036.1824314
1985,31125.1760983,31217.947435,31311.588569,31401.421935
1986,31490.4185933,31583.1875884,31676.8325083,31766.6680745
1987,31855.6610497,31948.4242439,32042.0731281,32131.9067892
1988,32220.9018905,32313.6643826,32407.31179,32497.1442965
1989,32586.1446705,32678.9119398,32772.5553062,32862.3902051
1990,32951.388365,33044.147871,33137.7886648,33227.629767
1991,33316.626402,33409.3881517,33503.0333406,33592.8705033
1992,33681.8665915,33774.6349256,33868.279722,33958.1132796
1993,34047.1115584,34139.8749288,34233.5155412,34323.351164
1994,34412.3527041,34505.116462,34598.7633322,34688.5990161
1995,34777.5933917,34870.3573051,34964.0091153,35053.8448806
1996,35142.8355103,35235.5999172,35329.2500653,35419.0873277
1997,35508.0795923,35600.8472657,35694.4971772,35784.3381375
1998,35873.3295938,35966.0852095,36059.7340927,36149.5807709
1999,36238.5733965,36331.3258741,36424.9802179,36514.8219988
2000,36603.8161694,36696.5748971,36790.2274942,36880.0675694
2001,36969.0629361,37061.8179891,37155.4614206,37245.3064961
2002,37334.3028444,37427.0587285,37520.7052173,37610.5515502
2003,37699.5415435,37792.2990399,37885.949164,37975.794193
2004,38064.7837173,38157.5396088,38251.1874835,38341.0288045
2005,38430.0232758,38522.7821397,38616.4327353,38706.2741662
2006,38795.2676616,38888.0180679,38981.6690453,39071.5152408
2007,39160.5051878,39253.2545593,39346.9106196,39436.7553274
2008,39525.741815,39618.4996687,39712.1558367,39802.0025061
2009,39890.9885449,39983.7400547,40077.3879528,40167.2407252
2010,40256.2306858,40348.9781748,40442.6311785,40532.4849388
2011,40621.4726205,40714.2199086,40807.8782767,40897.7290938
2012,40986.7184044,41079.4645524,41173.1173616,41262.9663065
2013,41351.9596292,41444.7111992,41538.3640432,41628.2158915
2014,41717.2063213,41809.952355,41903.6036023,41993.4603273
2015,42082.4480045,42175.1931016,42268.8475308,42358.69987
2016,42447.6875303,42540.4405142,42634.0980635,42723.9472496
2017,42812.9365453,42905.6835403,42999.3345057,43089.1859755
2018,43178.1772815,43270.9218031,43364.5792728,43454.4323444
2019,43543.41564,43636.1627455,43729.8265461,43819.6800371
2020,43908.659409,44001.4053998,44095.0629401,44184.9181601
2021,44273.9009968,44366.6473947,44460.3063538,44550.1660352
2022,44639.148141,44731.8846645,44825.5441128,44915.4083155
2023,45004.3918188,45097.1235365,45190.7847015,45280.6438334
2024,45369.6293997,45462.3687627,45556.0302073,45645.8891005
2025,45734.8758398,45827.6126887,45921.2633663,46011.1269516
2026,46100.115171,46192.8503313,46286.5035485,46376.3680205
2027,46465.3503368,46558.0908269,46651.7510391,46741.6123889
2028,46830.5950756,46923.3346861,47016.9897378,47106.8467643
2029,47195.834586,47288.5751577,47382.2348943,47472.0928891
2030,47561.0775851,47653.8133583,47747.47693,47837.3397501
2031,47926.3199996,48019.053493,48112.7187898,48202.5799617
2032,48291.5565852,48384.2976689,48477.9657277,48567.8302245
2033,48656.807219,48749.5423603,48843.2023625,48933.0732958
2034,49022.0535356,49114.7805693,49208.4438364,49298.3149623
2035,49387.2932773,49480.0228837,49573.6935704,49663.562768
2036,49752.5434512,49845.2722329,49938.9326011,50028.8002631
2037,50117.7845794,50210.5154131,50304.1755968,50394.0466938
2038,50483.0279685,50575.7563404,50669.4179897,50759.292893
2039,50848.2718736,50940.9979985,51034.6591145,51124.5277906
2040,51213.507751,51306.2403347,51399.9058892,51489.7723872
2041,51578.7543468,51671.4830133,51765.1430219,51855.0122825
2042,51943.9949171,52036.7190821,52130.3827507,52220.2523708
2043,52309.2273346,52401.9569492,52495.6294618,52585.5003977
2044,52674.4721522,52767.2018965,52860.8662734,52950.7381587
2045,53039.7132875,53132.4399176,53226.1058413,53315.9822535
2046,53404.9563967,53497.6765391,53591.3479861,53681.2276056
2047,53770.202821,53862.9187691,53956.5885824,54046.4628416
2048,54135.4397537,54228.1621374,54321.8333102,54411.7093724
2049,54500.6859993,54593.4075258,54687.0708951,54776.9523491
2050,54865.9298575,54958.6475552,55052.3110004,55142.1929813
2051,55231.1655481,55323.8875985,55417.5602373,55507.439828
2052,55596.4135088,55689.1358951,55782.8021398,55872.678061
2053,55961.657421,56054.3774993,56148.0455588,56237.9229945
2054,56326.8984275,56419.6157209,56513.2909708,56603.1730054
2055,56692.144463,56784.8606514,56878.533352,56968.4130462
2056,57057.3821027,57150.1025452,57243.777034,57333.6602928
2057,57422.6300246,57515.3461913,57609.0156494,57698.9041898
2058,57787.8779105,57880.5857645,57974.2553217,58064.1417774
2059,58153.1135857,58245.8241127,58339.5020356,58429.3868983
2060,58518.3596072,58611.0729737,58704.7413137,58794.6254188
2061,58883.6010511,58976.3136458,59069.979794,59159.8666676
2062,59248.8380926,59341.549175,59435.2216518,59525.1123705
2063,59614.0821694,59706.7926045,59800.4635713,59890.3474108
2064,59979.3179773,60072.0313135,60165.7057715,60255.5888342
2065,60344.5606331,60437.2721436,60530.9456964,60620.8332567
2066,60709.8048737,60802.5109586,60896.184963,60986.0726881
2067,61075.0367253,61167.7468102,61261.4297524,61351.3209875
2068,61440.2834262,61532.9952474,61626.6709268,61716.5637271
2069,61805.5308145,61898.2365591,61991.910466,62081.8063483
2070,62170.7735799,62263.4736056,62357.1555907,62447.054453
2071,62536.0235614,62628.7223552,62722.4006636,62812.2937178
2072,62901.2640233,62993.9674683,63087.6437335,63177.5382548
2073,63266.508656,63359.2127447,63452.8851376,63542.7845559
2074,63631.7556165,63724.4567788,63818.1269844,63908.0238068
2075,63996.9900266,64089.6942825,64183.3736782,64273.2681422
2076,64362.2347848,64454.9417298,64548.6176541,64638.5086233
2077,64727.4793197,64820.1824804,64913.8576997,65003.749895
2078,65092.7153098,65185.4147726,65279.0998793,65368.9978991
2079,65457.9582509,65550.6587785,65644.341855,65734.2382124
2080,65823.1966673,65915.898217,66009.5803451,66099.4804316
2081,66188.439876,66281.1359259,66374.8172541,66464.7232757
2082,66553.68722,66646.3768052,66740.0570481,66829.9608878
2083,66918.9234244,67011.6133414,67105.2991817,67195.2030558
2084,67284.1656807,67376.8610288,67470.5404954,67560.4446622
2085,67649.4116328,67742.1056544,67835.7797558,67925.6859507
2086,68014.6489339,68107.3395373,68201.021782,68290.9317369
2087,68379.8940273,68472.5870404,68566.2691602,68656.1719053
2088,68745.1362851,68837.8305976,68931.5121023,69021.4133614
2089,69110.3788973,69203.0710792,69296.7542878,69386.6604959
2090,69475.6258122,69568.3161639,69661.9990516,69751.9046371
2091,69840.8618437,69933.5544041,70027.2431313,70117.1511586
2092,70206.1060893,70298.8016575,70392.4869467,70482.3965557
2093,70571.3568169,70664.0461521,70757.7278656,70847.6387792
2094,70936.5976965,71029.2789655,71122.9693979,71212.8836206
2095,71301.8432552,71394.5265657,71488.2155133,71578.1249313
2096,71667.084738,71759.770951,71853.4541752,71943.3647808
2097,72032.3247164,72125.0088388,72218.6910511,72308.6086497
2098,72397.5691267,72490.2516066,72583.9328312,72673.8471369
2099,72762.8032901,72855.4867983,72949.1738228,73039.0856809
