America/Miquelon,-3,1,PM,145,PMST,PMDT,
America/Paramaribo,-3,0,SR,161,SRT,,
America/Recife,-3,0,BR,169,BRT,,
America/Santarem,-3,0,BR,174,BRT,,
America/Santiago,-3,0,CL,175,CLT,CLDT,
Antarctica/Palmer,-3,0,AQ,204,CLT,CLDT,
Antarctica/Rothera,-3,0,AQ,205,ART,,
Atlantic/Stanley,-3,0,FK,297,FKST,,
America/Montevideo,-2,-1,UY,148,UYT,,
America/Noronha,-2,0,BR,154,FNT,,
America/Sao_Paulo,-2,-1,BR,177,BRT,BRST,
Atlantic/South_Georgia,-2,0,GS,295,GST,,
America/Scoresbysund,-1,1,GL,178,EGT,EGST,
Atlantic/Azores,-1,1,PT,288,AZOT,AZOST,
Atlantic/Cape_Verde,-1,0,CV,291,CVT,,
Africa/Abidjan,0,0,CI,0,GMT,,
Africa/Accra,0,0,GH,1,GMT,,
Africa/Bamako,0,0,ML,5,GMT,,
Africa/Banjul,0,0,GM,7,GMT,,
Africa/Bissau,0,0,GW,8,GMT,,
Africa/Casablanca,0,0,MA,13,WET,WEST,DST?
Africa/Conakry,0,0,GN,15,GMT,,
Africa/Dakar,0,0,SN,16,GMT,,
Africa/El_Aaiun,0,0,EH,20,WET,WEST,DST?
Africa/Freetown,0,0,SL,21,GMT,,
Africa/Lome,0,0,TG,32,GMT,,
Africa/Monrovia,0,0,LR,41,GMT,,
Africa/Nouakchott,0,0,MR,45,GMT,,
Africa/Ouagadougou,0,0,BF,46,GMT,,
Africa/Sao_Tome,0,0,ST,48,GMT,,
America/Danmarkshavn,0,0,GL,93,GMT,,
Antarctica/Troll,0,2,AQ,207,CET,CEST,
Atlantic/Canary,0,1,ES,290,WET,WEST,
Atlantic/Faroe,0,1,FO,292,WET,WEST,
Atlantic/Madeira,0,1,PT,293,WET,WEST,
Atlantic/Reykjavik,0,0,IS,294,GMT,,
Atlantic/St_Helena,0,0,SH,296,GMT,,
Europe/Dublin,0,1,IE,322,GMT,BST,
Europe/Guernsey,0,1,GG,324,GMT,BST,
Europe/Isle_of_Man,0,1,IM,326,GMT,BST,
Europe/Jersey,0,1,JE,328,GMT,BST,
Europe/Lisbon,0,1,PT,331,WET,WEST,
Europe/London,0,1,GB,333,GMT,BST,
Africa/Algiers,1,0,DZ,3,CET,,
Africa/Bangui,1,0,CF,6,WAT,,
Africa/Brazzaville,1,0,CG,10,WAT,,
